FeatureID,Name,Formula,calc_mw,mz,rt,annot_source,Annot. Source: mzVault Search
Feature2339,sn-glycero-3-Phosphocholine,C8 H20 N O6 P,257.1025,258.10978,1.267,mzVault,Full match
Feature2338,O-Acetyl-L-carnitine,C9 H17 N O4,203.11557,204.12285,2.388,mzVault and mzCloud,Full match
Feature2337,Uridine,C9 H12 N2 O6,244.06931,245.07659,4.747,mzVault,Full match
Feature2336,Citicoline,C14 H26 N4 O11 P2,488.10684,489.11412,1.464,mzVault and mzCloud,Full match
Feature2335,2'-Deoxyadenosine,C10 H13 N5 O3,251.10164,252.10891,6.477,mzVault and mzCloud,Full match
Feature2334,L-Cystine,C6 H12 N2 O4 S2,240.02361,241.03089,1.173,mzVault and mzCloud,Full match
Feature2333,L-Glutathione oxidized,C20 H32 N6 O12 S2,612.15152,613.1588,5.586,mzVault and mzCloud,Full match
Feature2332,D-Proline,C5 H9 N O2,115.06316,116.07044,1.47,mzVault and mzCloud,Full match
Feature2331,L-Tryptophan,C11 H12 N2 O2,187.06318,205.09698,8.831,mzVault and mzCloud,Invalid mass
Feature2330,L-Asparagine,C4 H8 N2 O3,115.02682,116.03408,1.206,mzVault and mzCloud,Invalid mass
Feature2329,L-Asparagine,C4 H8 N2 O3,132.05335,133.06063,1.195,mzVault and mzCloud,Full match
Feature2328,Betaine,C5 H11 N O2,117.07882,118.0861,1.312,mzVault and mzCloud,Full match
Feature2327,D-Phenylalanine,C9 H11 N O2,148.05231,166.08613,7.302,mzVault and mzCloud,Invalid mass
Feature2326,5-Aminovaleric acid,C5 H11 N O2,100.05231,118.08613,1.666,mzVault and mzCloud,Invalid mass
Feature2325,D-Pantothenate,C9 H17 N O5,219.1105,220.11778,8.234,mzVault,Full match
Feature2324,Maltotriose,C18 H32 O16,504.16862,522.20244,1.545,mzVault and mzCloud,Full match
Feature2323,Maltotriose,C18 H32 O16,521.19512,522.2024,1.544,mzVault and mzCloud,Invalid mass
Feature2322,4-Aminosalicylic acid,C7 H7 N O3,153.04252,154.0498,8.618,mzVault and mzCloud,Full match
Feature2321,D-Glutamic acid,C5 H9 N O4,147.05304,148.06032,1.492,mzVault and mzCloud,Full match
Feature2320,L-Pyroglutamic acid,C5 H7 N O3,129.04248,130.04976,3.4,mzVault and mzCloud,Full match
Feature2319,Phosphocholine,C5 H14 N O4 P,183.06587,184.07314,1.224,mzVault,Full match
Feature2318,Guanosine,C10 H13 N5 O5,283.09143,284.0987,6.546,mzVault,Full match
Feature2317,L-Norleucine,C6 H13 N O2,131.09449,132.10177,4.201,mzVault and mzCloud,Full match
Feature2316,L-Norleucine,C6 H13 N O2,131.09452,132.10179,4.106,mzVault and mzCloud,Full match
Feature2315,Phosphocholine,C5 H14 N O4 P,183.06586,184.07313,1.289,mzVault,Full match
Feature2314,Phosphocholine,C5 H14 N O4 P,183.06589,184.07316,1.358,mzVault,Full match
Feature2313,Creatinine,C4 H7 N3 O,113.05876,114.06604,1.336,mzVault and mzCloud,Full match
Feature2312,D-α-aminobutyric acid,C4 H9 N O2,103.06322,104.0705,1.404,mzVault and mzCloud,Full match
Feature2311,2'-Deoxycytidine,C9 H13 N3 O4,227.09045,228.09773,2.917,mzVault,Full match
Feature2310,Xanthine,C5 H4 N4 O2,152.03332,153.0406,4.094,mzVault,Full match
Feature2309,Xanthine,C5 H4 N4 O2,135.00682,153.04064,4.095,mzVault,Invalid mass
Feature2308,Uridine-5'-phosphate,C9 H13 N2 O9 P,324.0357,325.04298,2.175,mzVault,Full match
Feature2307,Guanine,C5 H5 N5 O,151.04931,152.05659,2.329,mzVault and mzCloud,Full match
Feature2306,L-Carnitine,C7 H15 N O3,161.10504,162.11232,1.279,mzVault and mzCloud,Full match
Feature2305,Taurine,C2 H7 N O3 S,125.01453,126.0218,1.212,mzVault and mzCloud,Full match
Feature2304,Adenosine,C10 H13 N5 O4,267.09646,268.10374,6.299,mzVault and mzCloud,Full match
Feature2303,D-(+)-Glucose,C6 H12 O6,197.08971,198.09699,1.3,mzVault and mzCloud,Invalid mass
Feature2302,D-(+)-Glucose,C6 H12 O6,180.06316,198.09698,1.298,mzVault and mzCloud,Full match
Feature2301,D-Arginine,C6 H14 N4 O2,157.085,158.09231,1.136,mzVault and mzCloud,Invalid mass
Feature2300,D-Arginine,C6 H14 N4 O2,174.11156,175.11884,1.137,mzVault and mzCloud,Full match
Feature2299,Creatine,C4 H9 N3 O2,131.06934,132.07661,1.429,mzVault and mzCloud,Full match
Feature2298,Creatine,C4 H9 N3 O2,131.06934,132.07662,1.5,mzVault and mzCloud,Full match
Feature2297,N-Acetyl-L-methionine,C7 H13 N O3 S,191.06145,192.06873,9.243,mzVault,Full match
Feature2296,DL-Kynurenine,C10 H12 N2 O3,191.0581,209.09192,6.81,mzVault and mzCloud,Invalid mass
Feature2295,DL-Kynurenine,C10 H12 N2 O3,208.08462,209.0919,6.817,mzVault and mzCloud,Full match
Feature2294,L-Pyroglutamic acid,C5 H7 N O3,129.0425,130.04978,3.138,mzVault and mzCloud,Full match
Feature2293,L-Carnosine,C9 H14 N4 O3,226.10638,227.11366,1.135,mzVault and mzCloud,Full match
Feature2292,L-Carnosine,C9 H14 N4 O3,209.07979,227.11362,1.133,mzVault and mzCloud,Invalid mass
Feature2291,Maltotriose,C18 H32 O16,521.19533,522.20261,1.737,mzVault and mzCloud,Invalid mass
Feature2290,Maltotriose,C18 H32 O16,504.1689,522.20273,1.737,mzVault and mzCloud,Full match
Feature2289,4-Guanidinobutyric acid,C5 H11 N3 O2,145.08504,146.09231,2.197,mzVault and mzCloud,Full match
Feature2288,Acetylcholine,C7 H16 N O2,145.11013,146.11741,1.418,mzVault and mzCloud,Invalid mass
Feature2287,Acetylcholine,C7 H16 N O2,128.08359,146.11742,1.418,mzVault and mzCloud,Invalid mass
Feature2286,N-α-Acetyl-L-glutamine,C7 H12 N2 O4,188.07962,189.08690000000001,2.438,mzVault,Full match
Feature2285,N-Acetyl-DL-serine,C5 H9 N O4,147.05309,148.06036,1.981,mzVault and mzCloud,Full match
Feature2284,Nicotinic acid,C6 H5 N O2,123.03193,124.03921,2.645,mzVault and mzCloud,Full match
Feature2283,Thymine,C5 H6 N2 O2,126.0428,127.05008,5.751,mzVault and mzCloud,Full match
Feature2282,Creatinine,C4 H7 N3 O,113.05881,114.06609,1.474,mzVault and mzCloud,Full match
Feature2281,Phenylac-Gly-OH,C10 H11 N O3,193.07371,194.08099,10.719,mzVault and mzCloud,Full match
Feature2280,5-Methylcytidine,C10 H15 N3 O5,257.10098,258.10826,3.375,mzVault,Full match
Feature2279,N-Acetyl-D-mannosamine,C8 H15 N O6,221.08973,222.09701,1.491,mzVault and mzCloud,Full match
Feature2278,N-Acetyl-D-mannosamine,C8 H15 N O6,221.08974,222.09702,1.543,mzVault and mzCloud,Full match
Feature2277,trans-Urocanic Acid,C6 H6 N2 O2,138.04284,139.05012,2.594,mzVault and mzCloud,Full match
Feature2276,β-Alanine,C3 H7 N O2,89.04762,90.0549,1.167,mzVault and mzCloud,Full match
Feature2275,Niacinamide,C6 H6 N2 O,122.04788,123.05516,2.977,mzVault and mzCloud,Full match
Feature2274,Creatine,C4 H9 N3 O2,131.06936,132.07663,1.587,mzVault and mzCloud,Full match
Feature2273,Imidazole-4(5)-acetic acid,C5 H6 N2 O2,126.04279,127.05007,1.427,mzVault and mzCloud,Full match
Feature2272,N-Acetylglycine,C4 H7 N O3,117.0425,118.04977,2.214,mzVault,Full match
Feature2271,7-Methylguanine,C6 H7 N5 O,165.06497,166.07225,3.653,mzVault and mzCloud,Full match
Feature2270,Choline,C5 H13 N O,103.09958,104.10686,1.194,mzVault and mzCloud,Full match
Feature2269,Hippuric acid,C9 H9 N O3,179.0581,180.06538,10.013,mzVault and mzCloud,Full match
Feature2268,N-Acetyl-L-arginine,C8 H16 N4 O3,216.12208,217.12935,2.382,mzVault and mzCloud,Full match
Feature2267,Hypoxanthine,C5 H4 N4 O,136.03839,137.04567,3.313,mzVault and mzCloud,Full match
Feature2266,Trigonelline,C7 H7 N O2,137.04757,138.05485,1.447,mzVault and mzCloud,Full match
Feature2265,D-(+)-Xylose,C5 H10 O5,172.0346,173.04188,1.371,mzVault,Invalid mass
Feature2264,N-Acetylneuraminic acid,C11 H19 N O9,309.10579,310.11306,1.449,mzVault and mzCloud,Full match
Feature2263,Hypoxanthine,C5 H4 N4 O,136.03842,137.0457,3.445,mzVault and mzCloud,Full match
Feature2262,Adenine,C5 H5 N5,135.05441,136.06169,2.234,mzVault and mzCloud,Full match
Feature2261,L(-)-Pipecolinic acid,C6 H11 N O2,129.07888,130.08616,2.183,mzVault and mzCloud,Full match
Feature2260,L(-)-Pipecolinic acid,C6 H11 N O2,129.07887,130.08614,2.37,mzVault,Full match
Feature2259,2-Deoxy-D-glucose,C6 H12 O5,181.09487,182.10215,1.523,mzVault,Invalid mass
Feature2258,2-Deoxy-D-glucose,C6 H12 O5,164.06833,182.10216,1.524,mzVault,Full match
Feature2257,2-Deoxy-D-glucose,C6 H12 O5,164.06831,182.10213,1.55,mzVault,Full match
Feature2256,Allantoin,C4 H6 N4 O3,158.04388,159.05116,1.38,mzVault,Full match
Feature2255,2′-Deoxyguanosine,C10 H13 N5 O4,267.09656,268.10383,6.828,mzVault and mzCloud,Full match
Feature2254,N-Acetyl-D-galactosamine,C8 H15 N O6,221.08974,222.09702,1.378,mzVault and mzCloud,Full match
Feature2253,1-Methyl adenosine,C11 H15 N5 O4,281.11217,282.11945,7.825,mzVault and mzCloud,Full match
Feature2252,Glycyl-L-leucine,C8 H16 N2 O3,188.11593,189.12321,7.803,mzVault and mzCloud,Full match
Feature2251,Glycyl-L-leucine,C8 H16 N2 O3,171.0894,189.12323,7.803,mzVault and mzCloud,Invalid mass
Feature2250,N-Acetyl-L-Lysine,C8 H16 N2 O3,188.11596,189.12324,1.561,mzVault,Full match
Feature2249,D-(−)-Arabinose,C5 H10 O5,167.07925,168.08653,1.371,mzVault,Invalid mass
Feature2248,L-Carnitine,C7 H15 N O3,161.10507,162.11235,1.345,mzVault and mzCloud,Full match
Feature2247,2-Pyrrolidinone,C4 H7 N O,85.05274,86.06002,4.97,mzVault,Full match
Feature2246,Uric acid,C5 H4 N4 O3,168.02827,169.03554,3.084,mzVault and mzCloud,Full match
Feature2245,4-(Acetylamino)butanoic acid,C6 H11 N O3,145.07381,146.08108,6.121,mzVault and mzCloud,Full match
Feature2244,N-Acetyl-L-Lysine,C8 H16 N2 O3,188.11598,189.12326,1.661,mzVault,Full match
Feature2243,(S)-(+)-5-Hydroxymethyl-2-pyrrolidinone,C5 H9 N O2,115.06323,116.0705,3.145,mzVault and mzCloud,Full match
Feature2242,Bicine,C6 H13 N O4,163.08431,164.09159,1.291,mzVault and mzCloud,Full match
Feature2241,Indole-3-carboxaldehyde,C9 H7 N O,145.05267,146.05994,12.165,mzVault and mzCloud,Full match
Feature2240,N-Acetylneuraminic acid,C11 H19 N O9,309.10576,310.11304,1.406,mzVault,Full match
Feature2239,D-Lysine,C6 H14 N2 O2,129.07889,130.08616,1.058,mzVault,Invalid mass
Feature2238,NA,C20 H35 N O6,385.24623,386.25351,17.382,NA,No results
Feature2237,NA,C20 H33 N O5,367.23567,368.24295,17.381,NA,No results
Feature2236,Tiglic acid,C5 H8 O2,100.05227,101.05959,1.561,mzCloud,No results
Feature2235,12-Oxo phytodienoic acid,C18 H28 O3,274.19308,275.20035,18.152,mzCloud,No results
Feature2234,NA,C4 H4 O7 P2,225.94396,226.95124,1.11,NA,No results
Feature2233,NA,C5 H9 N O3,131.05808,132.06535,1.256,NA,No results
Feature2232,NA,C18 H33 N O,279.25596,280.26325,21.029,NA,No results
Feature2231,[Similar to: 8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid; ΔMass: 36.0209 Da],C18 H32 O5,328.22476,329.23205,18.152,NA,No results
Feature2230,NA,C18 H30 O2,278.22434,296.25816,19.638,NA,No results
Feature2229,NA,C18 H30 O,262.22948,263.23676,21,NA,No results
Feature2228,NA,C20 H31 N O4,349.22515,350.23242,17.381,NA,No results
Feature2227,NA,C18 H30 O2,278.22438,296.25821,19.463,NA,No results
Feature2226,"9S,13R-12-Oxophytodienoic acid",C18 H28 O3,292.20362,293.2109,18.153,mzCloud,No results
Feature2225,NA,C6 H12 O6,180.06318,198.097,1.205,NA,No results
Feature2224,NA,C18 H30 O,262.22945,280.26328,19.442,NA,No results
Feature2223,NA,C10 H16 N2 O4,228.11078,229.11806,1.563,NA,No results
Feature2222,NA,C10 H22 N2 O4,234.15771,235.16499,1.309,NA,No results
Feature2221,Acetohydroxamic acid,C2 H5 N O2,75.03201,76.03929,1.172,mzCloud,No results
Feature2220,NA,C18 H30 O2,278.22435,279.23162,19.351,NA,No results
Feature2219,NA,NA,241.91787,242.92514,1.115,NA,No results
Feature2218,NA,C20 H33 N O5,367.23562,368.2429,16.774,NA,No results
Feature2217,Hypotaurine,C2 H7 N O2 S,109.01961,110.02689,1.235,mzCloud,No results
Feature2216,Sulfadiazine,C10 H10 N4 O2 S,250.05227,251.05955,8.37,mzCloud,No results
Feature2215,NA,C6 H15 N2 O6 P,242.06657,243.07385,1.146,NA,No results
Feature2214,Hypoxanthine,C5 H4 N4 O,136.0384,137.04567,6.534,mzCloud,No results
Feature2213,NA,C18 H30 O,262.22945,263.23675,19.627,NA,No results
Feature2212,Inosine,C10 H12 N4 O5,268.08053,269.08781,6.534,mzCloud,No results
Feature2211,NA,C18 H30 O2,278.22441,296.25824,19.794,NA,No results
Feature2210,NA,C7 H15 N O4,177.09993,178.10721,9.793,NA,No results
Feature2209,NA,C18 H30 O,262.22946,280.26329,19.543,NA,No results
Feature2208,NA,C10 H17 N3 O6,275.11148,276.11876,1.515,NA,No results
Feature2207,NA,C7 H15 N O3 S,193.07709,194.08436,11.292,NA,No results
Feature2206,1-Dodecyl-2-pyrrolidinone,C16 H31 N O,236.2138,254.24763,20.728,mzCloud,No results
Feature2205,NA,C7 H14 N2 O3,174.10029,175.10757,1.561,NA,No results
Feature2204,NA,C2 H3 P S,89.96928,90.97656,1.11,NA,No results
Feature2203,NA,C19 H32 O5 S2,404.1675,405.17478,18.151,NA,No results
Feature2202,NA,C14 H18 N8 O4 S2,426.08749,427.09477,1.534,NA,No results
Feature2201,NA,C4 H10 O3,106.06287,124.09669,3.376,NA,No results
Feature2200,NA,C22 H46 N2 O,354.36082,355.3681,18.341,NA,No results
Feature2199,NA,C9 H12 O2,152.08365,170.11748,11.839,NA,No results
Feature2198,NA,C18 H30 O4,310.21419,311.22146,18.152,NA,No results
Feature2197,NA,C8 H8 O7 S,247.99883,266.03265,6.403,NA,No results
Feature2196,NA,C15 H31 N3 O4,317.23284,318.24011,19.639,NA,No results
Feature2195,NA,C8 H6,102.04681,120.08064,7.301,NA,No results
Feature2194,12-Oxo phytodienoic acid,C18 H28 O3,274.19311,275.20039,17.749,mzCloud,No results
Feature2193,NA,C16 H27 N7 O3 S2,429.16271,430.16999,17.381,NA,No results
Feature2192,NA,NA,257.8918,258.89908,1.119,NA,No results
Feature2191,NA,C6 H5 N6 O9 P3 S,429.90599,430.91327,1.109,NA,No results
Feature2190,NA,C8 H17 N O6,223.10537,224.11265,1.169,NA,No results
Feature2189,5-Hydroxylysine,C6 H14 N2 O3,162.10033,163.10761,1.056,mzCloud,No results
Feature2188,Zolazepam,C15 H15 F N4 O,286.12275,287.13003,10.323,mzCloud,No results
Feature2187,NA,C9 H14 O2,154.09931,155.10658,11.944,NA,No results
Feature2186,NA,C2 H6 O8,158.00577,159.01305,17.233,NA,No results
Feature2185,L-Cystathionine,C7 H14 N2 O4 S,222.0672,223.07448,1.166,mzCloud,No results
Feature2184,NA,C2 H6 O8,158.00578,159.01305,17.512,NA,No results
Feature2183,NA,C22 H45 N O6,419.32434,442.31353,19.564,NA,No results
Feature2182,NA,C20 H31 N O4,349.22512,350.23239,16.774,NA,No results
Feature2181,NA,C18 H34 O2,282.2557,283.26298,20.638,NA,No results
Feature2180,NA,C20 H41 N O5,375.29811,376.30541,19.538,NA,No results
Feature2179,NA,C7 H11 N O3,157.07372,175.10754,1.56,NA,No results
Feature2178,NA,C21 H35 N O6 S2,461.18896,462.19623,17.382,NA,No results
Feature2177,NA,C9 H15 N3 O2 S,229.08825,230.09553,1.546,NA,No results
Feature2176,"9S,13R-12-Oxophytodienoic acid",C18 H28 O3,292.20365,293.21093,17.748,mzCloud,No results
Feature2175,NA,C9 H13 N O4,199.08429,200.09157,3.101,NA,No results
Feature2174,NA,C9 H17 N O3,187.12069,188.12797,11.839,NA,No results
Feature2173,"N6,N6,N6-Trimethyl-L-lysine",C9 H20 N2 O2,188.15234,189.15961,1.127,mzCloud,No results
Feature2172,Adenosine 5'-monophosphate,C10 H14 N5 O7 P,347.0629,348.07017,2.786,mzCloud,No results
Feature2171,Methionine,C5 H11 N O2 S,132.02442,133.03169,2.494,mzCloud,No results
Feature2170,NA,C6 H8 N2 O8 P2 S2,361.91872,362.926,1.11,NA,No results
Feature2169,NA,C8 H18 N6 O4,262.13873,263.146,1.429,NA,No results
Feature2168,NA,C24 H50 N O7 P,495.33217,496.33944,20.875,NA,No results
Feature2167,NA,C10 H14 N2 O3,210.10028,211.10756,7.576,NA,No results
Feature2166,NA,C20 H33 N O5,367.23562,368.24289,17.094,NA,No results
Feature2165,NA,C18 H26 O2,274.1931,275.20037,17.96,NA,No results
Feature2164,NA,NA,157.95664,158.96392,1.11,NA,No results
Feature2163,NA,C8 H14 N6 O2 S2,290.06312,291.0704,14.471,NA,No results
Feature2162,"9S,13R-12-Oxophytodienoic acid",C18 H28 O3,292.20362,293.2109,17.961,mzCloud,No results
Feature2161,NA,C8 H14 N6 O2,226.11761,227.12488,1.337,NA,No results
Feature2160,NA,NA,111.99243,112.99971,1.333,NA,No results
Feature2159,1-Dodecyl-2-pyrrolidinone,C16 H31 N O,253.24038,254.24766,20.728,mzCloud,No results
Feature2158,NA,C19 H32 O4,324.22986,325.23714,18.152,NA,No results
Feature2157,NA,C21 H44 N2 O,340.34508,341.35236,17.953,NA,No results
Feature2156,NA,C11 H21 N O4,231.14686,232.15414,14.112,NA,No results
Feature2155,NA,C7 H10 N2 O3,170.06899,171.07627,1.557,NA,No results
Feature2154,NA,C14 H31 N4 O P,302.22437,303.23165,20.006,NA,No results
Feature2153,NA,C5 H14 N O6 P,215.05566,216.06294,1.228,NA,No results
Feature2152,NA,C4 H9 N,71.07349,72.08077,2.027,NA,No results
Feature2151,NA,C18 H24 O,256.1825,257.18978,18.153,NA,No results
Feature2150,NA,C3 H O7 P3 S,273.86574,274.87302,1.121,NA,No results
Feature2149,NA,C18 H30 O,262.22948,280.26331,19.762,NA,No results
Feature2148,NA,C18 H30 O,262.22946,280.26328,20.201,NA,No results
Feature2147,NA,NA,121.91707,122.92435,1.12,NA,No results
Feature2146,NA,C6 H10 O5,162.05265,180.08647,1.298,NA,No results
Feature2145,NA,C8 H9 N2 O15 P3 S,497.89344,498.90071,1.108,NA,No results
Feature2144,NA,C20 H33 N O6,383.23055,384.23782,16.803,NA,No results
Feature2143,NA,C15 H33 N3 O4,319.24852,320.25579,19.443,NA,No results
Feature2142,NA,C8 H15 N3 O5 S2,297.0451,298.05238,1.188,NA,No results
Feature2141,NA,C7 H9 N O5,187.04785999999999,205.08168,1.422,NA,No results
Feature2140,NA,C7 H5 N8 O15 P3 S,565.8808,566.88808,1.106,NA,No results
Feature2139,1-Methylhistidine,C7 H11 N3 O2,169.08504,170.09232,1.147,mzCloud,No results
Feature2138,NA,C24 H49 N O7,463.35051,464.35775,19.598,NA,No results
Feature2137,NA,C10 H14 N2 O6,258.08493,259.09219,1.514,NA,No results
Feature2136,NA,C4 H7 N O2 S,133.01961,134.02689,1.541,NA,No results
Feature2135,NA,C20 H35 N O6,385.24618,386.25346,17.094,NA,No results
Feature2134,NA,C3 H6 N8,154.07168,177.06088,1.074,NA,No results
Feature2133,Dihydrothymine,C5 H8 N2 O2,128.05844,129.06572,1.394,mzCloud,No results
Feature2132,NA,C5 H11 N,85.0891,86.09638,4.534,NA,No results
Feature2131,NA,C18 H26 O2,274.19311,275.20039,17.382,NA,No results
Feature2130,NA,C8 H13 N O3,171.0895,172.09678,8.62,NA,No results
Feature2129,NA,C18 H29 N6 O11 P,536.16111,537.16838,6.533,NA,No results
Feature2128,NA,C22 H45 N O5,403.32948,426.3187,20.508,NA,No results
Feature2127,NA,C18 H30 O5,326.20914,327.21644,17.994,NA,No results
Feature2126,NA,C7 H12 O4,160.07341,178.10724,9.795,NA,No results
Feature2125,NA,C6 H14 O4,150.0891,151.09639,6.863,NA,No results
Feature2124,NA,C7 H15 O9 P,274.04507,275.05235,1.253,NA,No results
Feature2123,NA,C24 H49 N O6,447.35565,470.34486,20.512,NA,No results
Feature2122,16α-Hydroxydehydroepiandrosterone,C19 H28 O3,321.23026,322.23754,17.381,mzCloud,No results
Feature2121,NA,C9 H N6 O8 P3 S,445.87989,446.88717,1.114,NA,No results
Feature2120,NA,C11 H20 N2 O8,308.12174,309.12901,1.356,NA,No results
Feature2119,NA,C19 H30 O3,306.2193,307.22658,18.154,NA,No results
Feature2118,2-Aminoadipic acid,C6 H11 N O4,161.06869,162.07597,1.485,mzCloud,No results
Feature2117,NA,NA,701.85542,702.8627,1.107,NA,No results
Feature2116,NA,C5 H9 N O S,131.04037,132.04764,11.292,NA,No results
Feature2115,L-(+)-Citrulline,C6 H13 N3 O3,197.08152,198.0888,1.364,mzCloud,No results
Feature2114,NA,C11 H18 O2,182.13052,200.16434,14.727,NA,No results
Feature2113,NA,C14 H32 N5 O3 P,349.2251,350.23237,17.095,NA,No results
Feature2112,NA,C14 H29 N O,227.22474,228.23201,20.472,NA,No results
Feature2111,NA,C23 H48 N2 O,368.37644,369.38372,18.819,NA,No results
Feature2110,NA,C21 H44 N2 O2,356.34007,357.34734,17.67,NA,No results
Feature2109,NA,C10 H14 N2 O5,242.09001,243.09728,1.562,NA,No results
Feature2108,"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",C10 H16 N2 O2,196.12099,197.12827,10.214,mzCloud,No results
Feature2107,NA,C14 H5 N8 O12 P3 S2,633.86812,634.8754,1.107,NA,No results
Feature2106,NA,C9 H4 N2 O7 P2 S2,377.8926,378.89988,1.114,NA,No results
Feature2105,NA,C18 H33 N O2,295.25094,296.25823,19.638,NA,No results
Feature2104,NA,C10 H16 O3,184.10977,202.1436,11.838,NA,No results
Feature2103,NA,C18 H35 N O2,297.26658,298.27384,20.201,NA,No results
Feature2102,NA,C13 H8 N2 O2,224.05854,225.06582,15.425,NA,No results
Feature2101,NA,C10 H17 N O2,183.12578,184.13305,13.3,NA,No results
Feature2100,NA,C12 H19 N3 O5,285.13228,286.13956,2.418,NA,No results
Feature2099,NA,C8 H15 N O3,173.105,174.11228,10.176,NA,No results
Feature2098,NA,C6 H11 N4 O3 P S,250.02908,251.03636,1.211,NA,No results
Feature2097,"N3,N4-Dimethyl-L-arginine",C8 H18 N4 O2,202.14278,203.15005,1.481,mzCloud,No results
Feature2096,NA,C3 H8 N2 O6 P2 S2,293.93132,294.93859,1.11,NA,No results
Feature2095,NA,C10 H16 N2 O4,228.11086,229.11813,1.945,NA,No results
Feature2094,1-Dodecyl-2-pyrrolidinone,C16 H31 N O,253.24037,254.24765,20.808,mzCloud,No results
Feature2093,NA,C5 H5 N8 O4 P3 S4,461.85386,462.86114,1.118,NA,No results
Feature2092,NA,C16 H30 N6 O3 S2,418.1832,419.19047,17.749,NA,No results
Feature2091,Uracil,C4 H4 N2 O2,95.00058,113.03441,4.749,mzCloud,No results
Feature2090,L-Pyroglutamic acid,C5 H7 N O3,129.04245,130.04973,1.286,mzCloud,No results
Feature2089,NA,C9 H18 N2 O4,218.12647,219.13375,1.364,NA,No results
Feature2088,NA,C8 H15 N O5,205.09483,206.1021,1.17,NA,No results
Feature2087,NA,C19 H27 N5 O2,357.21496,358.22223,15.885,NA,No results
Feature2086,δ-Valerolactam,C5 H9 N O,99.06833,100.07561,7.372,mzCloud,No results
Feature2085,NA,C7 H15 N O5,193.09487,194.10214,1.358,NA,No results
Feature2084,NA,C10 H19 N O2,185.14142,186.1487,13.43,NA,No results
Feature2083,NA,C24 H50 N2 O,382.39207,383.39935,19.036,NA,No results
